boxing_v1 pettingzoo
<SubprocVectorEnv instance>
No agent are not learnable.
Arguments:  {'env_name': 'boxing_v1', 'env_type': 'pettingzoo', 'num_envs': 5, 'ram': True, 'seed': 1122, 'algorithm': 'NashDQNExploiter', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 32, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 10000, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 10, 'log_interval': 10, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'net_architecture': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nash', 'marl_spec': {}}
Episode: 1, avg. length 1784.0
env2_first_0:                 episode reward: 12.7000,                 loss: nan
env2_second_0:                 episode reward: -12.7000,                 loss: nan
env3_first_0:                 episode reward: 11.3000,                 loss: nan
env3_second_0:                 episode reward: -11.3000,                 loss: nan
env4_first_0:                 episode reward: 8.4000,                 loss: nan
env4_second_0:                 episode reward: -8.4000,                 loss: nan
Episode: 141, avg. length 1784.0
env0_first_0:                 episode reward: 12.2000,                 loss: 0.0031
env0_second_0:                 episode reward: -12.2000,                 loss: nan
env1_first_0:                 episode reward: 14.5000,                 loss: nan
env1_second_0:                 episode reward: -14.5000,                 loss: nan
env2_first_0:                 episode reward: 13.8000,                 loss: nan
env2_second_0:                 episode reward: -13.8000,                 loss: nan
env3_first_0:                 episode reward: 14.6000,                 loss: nan
env3_second_0:                 episode reward: -14.6000,                 loss: nan
env4_first_0:                 episode reward: 19.2000,                 loss: nan
env4_second_0:                 episode reward: -19.2000,                 loss: nan
Episode: 151, avg. length 1784.0
env0_first_0:                 episode reward: 10.5000,                 loss: 0.0016
env0_second_0:                 episode reward: -10.5000,                 loss: nan
env1_first_0:                 episode reward: 11.3000,                 loss: nan
env1_second_0:                 episode reward: -11.3000,                 loss: nan
env2_first_0:                 episode reward: 8.6000,                 loss: nan
env2_second_0:                 episode reward: -8.6000,                 loss: nan
env3_first_0:                 episode reward: 15.4000,                 loss: nan
env3_second_0:                 episode reward: -15.4000,                 loss: nan
env4_first_0:                 episode reward: 13.0000,                 loss: nan
env4_second_0:                 episode reward: -13.0000,                 loss: nan
Episode: 161, avg. length 1784.0
env0_first_0:                 episode reward: 16.2000,                 loss: 0.0016
env0_second_0:                 episode reward: -16.2000,                 loss: nan
env1_first_0:                 episode reward: 11.8000,                 loss: nan
env1_second_0:                 episode reward: -11.8000,                 loss: nan
env2_first_0:                 episode reward: 12.2000,                 loss: nan
env2_second_0:                 episode reward: -12.2000,                 loss: nan
env3_first_0:                 episode reward: 7.5000,                 loss: nan
env3_second_0:                 episode reward: -7.5000,                 loss: nan
env4_first_0:                 episode reward: 10.0000,                 loss: nan
env4_second_0:                 episode reward: -10.0000,                 loss: nan
Episode: 171, avg. length 1784.0
env0_first_0:                 episode reward: 16.6000,                 loss: 0.0078
env0_second_0:                 episode reward: -16.6000,                 loss: nan
env1_first_0:                 episode reward: 10.4000,                 loss: nan
env1_second_0:                 episode reward: -10.4000,                 loss: nan
env2_first_0:                 episode reward: 11.1000,                 loss: nan
env2_second_0:                 episode reward: -11.1000,                 loss: nan
env3_first_0:                 episode reward: 13.4000,                 loss: nan
env3_second_0:                 episode reward: -13.4000,                 loss: nan
env4_first_0:                 episode reward: 14.0000,                 loss: nan
env4_second_0:                 episode reward: -14.0000,                 loss: nan
Episode: 181, avg. length 1784.0
env0_first_0:                 episode reward: 8.9000,                 loss: 0.0078
env0_second_0:                 episode reward: -8.9000,                 loss: nan
env1_first_0:                 episode reward: 5.0000,                 loss: nan
